Price Effective Date,Month,Hour,Delivery - Weekday EEC,Delivery - Weekend/Holiday EEC,SCE Gen - Weekday EEC,SCE Gen - Weekend/Holiday EEC
2024,1,1,0.00359,0.00328,0.05322,0.05372
2024,1,2,0.00361,0.00313,0.05374,0.053
2024,1,3,0.00366,0.00322,0.05403,0.05382
2024,1,4,0.00361,0.00316,0.05384,0.05337
2024,1,5,0.00363,0.00307,0.05352,0.05241
2024,1,6,0.00336,0.00299,0.05403,0.05156
2024,1,7,0.00376,0.00317,0.05782,0.05376
2024,1,8,0.00431,0.00366,0.06048,0.05889
2024,1,9,0.00526,0.00321,0.06089,0.05291
2024,1,10,0.00443,0.00294,0.05838,0.04911
2024,1,11,0.00431,0.00278,0.05808,0.04786
2024,1,12,0.00412,0.00271,0.05645,0.04723
2024,1,13,0.0039,0.0025,0.05548,0.04586
2024,1,14,0.00369,0.00266,0.0545,0.04742
2024,1,15,0.00422,0.00258,0.0545,0.04713
2024,1,16,0.00384,0.00264,0.05608,0.04718
2024,1,17,0.0044,0.00533,0.06115,0.05966
2024,1,18,0.00547,0.00529,0.06383,0.06533
2024,1,19,0.0079,0.00684,0.06326,0.06668
2024,1,20,0.00871,0.00693,0.06348,0.06664
2024,1,21,0.00833,0.00639,0.06399,0.06679
2024,1,22,0.00712,0.00717,0.06222,0.06409
2024,1,23,0.00522,0.0044,0.05736,0.05848
2024,1,24,0.00369,0.00487,0.05408,0.05448
2024,2,1,0.00304,0.00343,0.05049,0.04808
2024,2,2,0.00305,0.0035,0.05037,0.04856
2024,2,3,0.00296,0.00336,0.04933,0.04775
2024,2,4,0.00307,0.00353,0.04897,0.04798
2024,2,5,0.0032,0.00359,0.04966,0.04774
2024,2,6,0.00317,0.00356,0.05117,0.04742
2024,2,7,0.00413,0.00354,0.05897,0.04691
2024,2,8,0.00444,0.00283,0.06029,0.04474
2024,2,9,0.00415,0.00139,0.04958,0.02994
2024,2,10,0.00431,0.00183,0.04588,0.02881
2024,2,11,0.00329,0.00174,0.04459,0.02826
2024,2,12,0.0034,0.00273,0.04394,0.0281
2024,2,13,0.00294,0.00127,0.04235,0.02709
2024,2,14,0.00288,0.00092,0.04265,0.02902
2024,2,15,0.00334,0.00094,0.04421,0.02911
2024,2,16,0.0036,0.00155,0.04698,0.03248
2024,2,17,0.00451,0.00409,0.05982,0.05479
2024,2,18,0.00518,0.00595,0.06442,0.06803
2024,2,19,0.00689,0.00755,0.06088,0.06764
2024,2,20,0.00775,0.0079,0.06022,0.06757
2024,2,21,0.00729,0.00966,0.06023,0.06708
2024,2,22,0.00587,0.00708,0.06093,0.06787
2024,2,23,0.00532,0.00486,0.05707,0.05607
2024,2,24,0.0043,0.00408,0.05328,0.0499
2024,3,1,0.00335,0.00332,0.05096,0.05187
2024,3,2,0.00312,0.00342,0.04967,0.05306
2024,3,3,0.00326,0.00348,0.05086,0.05331
2024,3,4,0.00311,0.00329,0.04935,0.05132
2024,3,5,0.00313,0.00316,0.0495,0.04991
2024,3,6,0.00337,0.00319,0.05187,0.05023
2024,3,7,0.00378,0.00325,0.05422,0.05085
2024,3,8,0.00466,0.0019,0.05701,0.03678
2024,3,9,0.00413,0.00009,0.04501,0.01889
2024,3,10,0.00412,0.00069,0.03781,0.0124
2024,3,11,0.00398,0,0.03626,0.01226
2024,3,12,0.00379,0,0.03542,0.01444
2024,3,13,0.00367,0,0.03368,0.01334
2024,3,14,0.00401,0,0.03214,0.0079
2024,3,15,0.00411,0,0.03195,0.00782
2024,3,16,0.00436,0,0.03293,0.00967
2024,3,17,0.00406,0,0.0366,0.01336
2024,3,18,0.00524,0.00401,0.05157,0.04527
2024,3,19,0.00616,0.00467,0.06492,0.06382
2024,3,20,0.00604,0.00644,0.0657,0.06585
